cluster_key,village_name,village_code,ward_name,ward_code
1242,Busembe,596,Mayoni,146
1242,Kholera,210,Mayoni,146
1313,Ekama A,615,Mumias Central,152
1313,Ekama B,614,Mumias Central,152
1313,MayoniEstate,616,Mumias Central,152
1313,MayoniTownship,617,Mumias Central,152
1313,WetavaA,223,Mumias Central,152
1323,Emasanga,222,Mumias Central,152
1323,Itokho A,621,Mumias Central,152
1323,Itokho B,620,Mumias Central,152
1323,Mission,623,Mumias Central,152
1323,Mwechina,619,Mumias Central,152
1323,Nyakwaka,618,Mumias Central,152
1323,Shikhoka,622,Mumias Central,152
796,Mayugu,501,Murhanda,163
796,Mukuywa,503,Murhanda,163
796,Navangala,502,Murhanda,163
796,Ondolo,245,Murhanda,163
796,Shikulu,504,Murhanda,163
800,Bukhaywa,508,Murhanda,163
800,Busalwa,509,Murhanda,163
800,Lucheo,246,Murhanda,163
800,Milonje,510,Murhanda,163
1355,Eshikalame,225,Musanda,153
1355,Eshikangu,226,Musanda,153
1355,Imbibi,626,Musanda,153
1370,Ahong'ijo A,630,Musanda,153
1370,Ahong'injo B,628,Musanda,153
1370,Bubala,627,Musanda,153
1370,Eshitindi,224,Musanda,153
1370,Ikalie A,631,Musanda,153
1370,Mushing'oto A,629,Musanda,153
1216,Lukala,211,Namamali,147
1216,Namanga,588,Namamali,147
1216,Namaviakala,212,Namamali,147
1234,Luhari,592,Namamali,147
1234,Moisoiro,591,Namamali,147
1234,Musango,590,Namamali,147
1234,Namberekeya,213,Namamali,147
141,Centre A,362,Nambale Township,109
141,Centre B,363,Nambale Township,109
141,Centre C,126,Nambale Township,109
141,Katikoko,364,Nambale Township,109
459,Segero A,443,Nambale Township,109
459,Segero c,125,Nambale Township,109
173,Muranda,379,North Gem,166
173,Musembe,254,North Gem,166
173,Osula,255,North Gem,166
298,Ndengwe,257,North Gem,166
298,Nyangoma nyoita,415,North Gem,166
298,Sirawa,414,North Gem,166
478,Murumba,447,North Gem,166
478,Wamure group,256,North Gem,166
478,Wanaholo group,446,North Gem,166
1,Huduma B,302,North Ugenya,171
1,Siwinga,301,North Ugenya,171
1,Ulore,280,North Ugenya,171
140,Lwero,278,North Ugenya,171
140,Ulanda A,279,North Ugenya,171
140,Ulanda B,360,North Ugenya,171
140,Uwai,358,North Ugenya,171
140,Uyundo A,359,North Ugenya,171
140,Uyundo B,361,North Ugenya,171
259,Kirido B,409,North Ugenya,171
259,Ogol,276,North Ugenya,171
259,Uderia,410,North Ugenya,171
259,Uliera,277,North Ugenya,171
631,Andidi,482,Sheywe,136
631,Ichina,481,Sheywe,136
631,Sakali,182,Sheywe,136
678,Alkarim Makaburini,486,Sheywe,136
678,Jua Kali township,183,Sheywe,136
678,Kefinco(Juakali),485,Sheywe,136
678,Masingo Royale,484,Sheywe,136
1449,Eburenga,233,Shinoyi-Shikomari-Esumeyia,158
1449,Mwitokho,646,Shinoyi-Shikomari-Esumeyia,158
979,Chombeli North,551,Shirugu-Mugai,141
979,Chombeli South,194,Shirugu-Mugai,141
278,Hataro,290,Sidindi,174
278,Ochikowange,411,Sidindi,174
